list_id,first_publication_date,price,urls
2933109540,2025-02-08 16:20:09,500,https://www.leboncoin.fr/ad/locations/2933109540
2927642168,2025-01-29 13:23:00,500,https://www.leboncoin.fr/ad/locations/2927642168
2932308691,2025-02-07 10:45:15,500,https://www.leboncoin.fr/ad/locations/2932308691
2915917705,2025-01-08 21:48:00,500,https://www.leboncoin.fr/ad/locations/2915917705
2927183086,2025-01-28 19:29:01,500,https://www.leboncoin.fr/ad/locations/2927183086
2931922752,2025-02-06 14:29:46,515,https://www.leboncoin.fr/ad/locations/2931922752
2928877079,2025-02-01 08:42:50,515,https://www.leboncoin.fr/ad/locations/2928877079
2933568116,2025-02-09 12:39:36,520,https://www.leboncoin.fr/ad/locations/2933568116
2906533335,2024-12-21 07:21:00,520,https://www.leboncoin.fr/ad/locations/2906533335
2923989472,2025-01-23 10:55:00,520,https://www.leboncoin.fr/ad/locations/2923989472
2931057260,2025-02-04 19:42:23,542,https://www.leboncoin.fr/ad/locations/2931057260
2933887567,2025-02-09 18:32:32,550,https://www.leboncoin.fr/ad/locations/2933887567
2933492774,2025-02-09 11:18:00,550,https://www.leboncoin.fr/ad/locations/2933492774
2907021458,2024-12-22 07:03:00,550,https://www.leboncoin.fr/ad/locations/2907021458
2898637811,2024-12-07 15:41:00,550,https://www.leboncoin.fr/ad/locations/2898637811
2921487074,2025-01-19 07:01:00,550,https://www.leboncoin.fr/ad/locations/2921487074
2932245788,2025-02-07 08:23:05,550,https://www.leboncoin.fr/ad/locations/2932245788
2926720413,2025-01-27 21:55:11,550,https://www.leboncoin.fr/ad/locations/2926720413
2926250550,2025-01-27 16:38:19,550,https://www.leboncoin.fr/ad/locations/2926250550
2926530692,2025-01-27 16:35:18,550,https://www.leboncoin.fr/ad/locations/2926530692
2926393324,2025-01-27 13:05:37,550,https://www.leboncoin.fr/ad/locations/2926393324
2925488573,2025-01-27 08:28:39,550,https://www.leboncoin.fr/ad/locations/2925488573
2926190610,2025-01-26 22:52:22,550,https://www.leboncoin.fr/ad/locations/2926190610
2925828037,2025-01-26 14:57:01,550,https://www.leboncoin.fr/ad/locations/2925828037
2903103711,2024-12-14 15:26:00,555,https://www.leboncoin.fr/ad/locations/2903103711
2903788010,2024-12-15 17:27:58,555,https://www.leboncoin.fr/ad/locations/2903788010
2931123599,2025-02-04 21:35:13,560,https://www.leboncoin.fr/ad/locations/2931123599
2932630699,2025-02-07 19:24:31,570,https://www.leboncoin.fr/ad/locations/2932630699
2932082951,2025-02-06 18:43:36,570,https://www.leboncoin.fr/ad/locations/2932082951
2926164422,2025-01-26 21:41:21,575,https://www.leboncoin.fr/ad/locations/2926164422
2878660833,2024-11-07 08:02:00,580,https://www.leboncoin.fr/ad/locations/2878660833
2931369124,2025-02-05 13:37:12,590,https://www.leboncoin.fr/ad/locations/2931369124
2930155019,2025-02-03 09:04:55,590,https://www.leboncoin.fr/ad/locations/2930155019
2924761420,2025-01-24 18:44:26,590,https://www.leboncoin.fr/ad/locations/2924761420
2929809322,2025-02-02 16:12:23,595,https://www.leboncoin.fr/ad/locations/2929809322
2920611706,2025-01-17 16:31:01,595,https://www.leboncoin.fr/ad/locations/2920611706
2933822179,2025-02-09 17:27:04,600,https://www.leboncoin.fr/ad/locations/2933822179
2931373042,2025-02-05 13:43:33,600,https://www.leboncoin.fr/ad/locations/2931373042
2930220883,2025-02-03 11:05:29,600,https://www.leboncoin.fr/ad/locations/2930220883
2927575788,2025-01-29 15:55:56,600,https://www.leboncoin.fr/ad/locations/2927575788
2927490711,2025-01-29 13:52:32,600,https://www.leboncoin.fr/ad/locations/2927490711
2927487476,2025-01-29 13:46:44,600,https://www.leboncoin.fr/ad/locations/2927487476
2914862328,2025-01-07 00:22:17,600,https://www.leboncoin.fr/ad/locations/2914862328
2910715494,2024-12-30 14:37:49,605,https://www.leboncoin.fr/ad/locations/2910715494
2932524555,2025-02-07 12:14:00,608,https://www.leboncoin.fr/ad/locations/2932524555
2926397084,2025-01-27 13:11:42,610,https://www.leboncoin.fr/ad/locations/2926397084
2922110879,2025-01-19 21:40:36,620,https://www.leboncoin.fr/ad/locations/2922110879
2932522841,2025-02-07 08:50:00,625,https://www.leboncoin.fr/ad/locations/2932522841
2904762566,2024-12-17 12:20:00,630,https://www.leboncoin.fr/ad/locations/2904762566
2902357067,2024-12-13 07:58:00,630,https://www.leboncoin.fr/ad/locations/2902357067
2931677839,2025-02-05 15:01:00,630,https://www.leboncoin.fr/ad/locations/2931677839
2921198989,2025-01-18 16:02:44,630,https://www.leboncoin.fr/ad/locations/2921198989
2918129887,2025-01-12 19:50:19,630,https://www.leboncoin.fr/ad/locations/2918129887
2883453489,2024-11-15 11:32:00,637,https://www.leboncoin.fr/ad/locations/2883453489
2919418897,2025-01-15 11:09:00,640,https://www.leboncoin.fr/ad/locations/2919418897
2923502633,2025-01-22 10:06:00,640,https://www.leboncoin.fr/ad/locations/2923502633
2931637239,2025-02-05 20:48:32,640,https://www.leboncoin.fr/ad/locations/2931637239
2931153644,2025-02-04 23:10:33,640,https://www.leboncoin.fr/ad/locations/2931153644
2933677522,2025-02-09 14:55:55,650,https://www.leboncoin.fr/ad/locations/2933677522
2892123892,2024-11-27 17:23:00,650,https://www.leboncoin.fr/ad/locations/2892123892
2933300600,2025-02-08 21:04:11,650,https://www.leboncoin.fr/ad/locations/2933300600
2933202506,2025-02-08 18:09:10,650,https://www.leboncoin.fr/ad/locations/2933202506
2924929501,2025-01-24 14:43:00,650,https://www.leboncoin.fr/ad/locations/2924929501
2896511988,2024-12-04 12:34:00,650,https://www.leboncoin.fr/ad/locations/2896511988
2931387258,2025-02-05 14:08:06,650,https://www.leboncoin.fr/ad/locations/2931387258
2930880187,2025-02-04 14:43:08,650,https://www.leboncoin.fr/ad/locations/2930880187
2927920368,2025-01-30 11:06:15,650,https://www.leboncoin.fr/ad/locations/2927920368
2927244190,2025-01-28 21:43:38,650,https://www.leboncoin.fr/ad/locations/2927244190
2926456976,2025-01-27 14:49:42,650,https://www.leboncoin.fr/ad/locations/2926456976
2924993509,2025-01-25 10:33:53,650,https://www.leboncoin.fr/ad/locations/2924993509
2917282950,2025-01-11 15:56:59,650,https://www.leboncoin.fr/ad/locations/2917282950
2903520819,2024-12-15 12:01:46,650,https://www.leboncoin.fr/ad/locations/2903520819
2903466488,2024-12-15 11:00:02,650,https://www.leboncoin.fr/ad/locations/2903466488
2902671003,2024-12-13 20:26:29,650,https://www.leboncoin.fr/ad/locations/2902671003
2931843364,2025-02-06 08:39:00,655,https://www.leboncoin.fr/ad/locations/2931843364
2896575673,2024-12-04 11:37:00,658,https://www.leboncoin.fr/ad/locations/2896575673
2922991511,2025-01-21 09:19:00,658,https://www.leboncoin.fr/ad/locations/2922991511
2890885389,2024-11-25 14:25:00,660,https://www.leboncoin.fr/ad/locations/2890885389
2932657194,2025-02-07 20:20:58,660,https://www.leboncoin.fr/ad/locations/2932657194
2932468052,2025-02-07 15:26:10,660,https://www.leboncoin.fr/ad/locations/2932468052
2901454169,2024-12-11 15:29:00,660,https://www.leboncoin.fr/ad/locations/2901454169
2919945160,2025-01-16 09:31:00,670,https://www.leboncoin.fr/ad/locations/2919945160
2928018611,2025-01-30 13:43:00,670,https://www.leboncoin.fr/ad/locations/2928018611
2874491962,2024-10-31 15:12:00,676,https://www.leboncoin.fr/ad/locations/2874491962
2933930755,2025-02-09 19:21:39,680,https://www.leboncoin.fr/ad/locations/2933930755
2933667906,2025-02-09 14:44:59,680,https://www.leboncoin.fr/ad/locations/2933667906
2932845823,2025-02-08 10:42:27,680,https://www.leboncoin.fr/ad/locations/2932845823
2922864992,2025-01-21 12:27:40,680,https://www.leboncoin.fr/ad/locations/2922864992
2922673658,2025-01-20 22:07:43,680,https://www.leboncoin.fr/ad/locations/2922673658
2868429165,2024-12-20 14:10:47,680,https://www.leboncoin.fr/ad/locations/2868429165
2912739893,2025-01-03 19:11:12,680,https://www.leboncoin.fr/ad/locations/2912739893
2909950023,2024-12-28 23:19:34,680,https://www.leboncoin.fr/ad/locations/2909950023
2907003013,2024-12-22 05:25:04,680,https://www.leboncoin.fr/ad/locations/2907003013
2873683566,2024-10-30 10:47:00,688,https://www.leboncoin.fr/ad/locations/2873683566
2933787168,2025-02-09 14:43:00,690,https://www.leboncoin.fr/ad/locations/2933787168
2933787171,2025-02-09 11:39:00,690,https://www.leboncoin.fr/ad/locations/2933787171
2931729392,2025-02-06 07:29:34,690,https://www.leboncoin.fr/ad/locations/2931729392
2891831434,2024-11-27 12:02:00,690,https://www.leboncoin.fr/ad/locations/2891831434
2918610373,2025-01-13 18:18:15,690,https://www.leboncoin.fr/ad/locations/2918610373
2914817528,2025-01-06 21:39:17,690,https://www.leboncoin.fr/ad/locations/2914817528
